#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-05-25 15:29:43 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04096405     00060          ST. JOSEPH RIVER AT BURLINGTON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# max_va_yr   ... Water year in which the maximum value occurred.
# max_va      ... Maximum of daily mean values for this day.
# min_va_yr   ... Water year in which the minimum value occurred.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
1agenc   2site_no	 3param 4ts_id	5mon  6day  7begi	8end 9count 10maxyr11max12minyr 13min_v14me15p5-16p10-17p20-18p25-19p50-20p75-21p80-22p90-23p95
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	04096405	00060	70388		3	23	1963	2020	58	1982	1160	1964	60.0	327	157	178	192	210	286	419	444	536	603
USGS	04096405	00060	70388		3	24	1963	2020	58	1982	1090	1964	61.0	321	161	175	198	202	280	423	443	507	642
USGS	04096405	00060	70388		3	25	1963	2020	58	1982	1010	1964	73.0	316	160	173	202	213	271	400	420	503	661
USGS	04096405	00060	70388		3	26	1963	2020	58	1982	940	1964	108	312	162	171	194	214	266	393	412	517	645
USGS	04096405	00060	70388		3	27	1963	2020	58	1982	870	2000	122	310	158	170	191	206	257	381	391	500	665
USGS	04096405	00060	70388		3	28	1963	2020	58	1982	815	2000	121	310	156	166	192	216	274	369	384	491	635
USGS	04096405	00060	70388		3	29	1963	2020	58	1978	800	2000	117	317	159	170	196	213	282	382	444	491	632
USGS	04096405	00060	70388		3	30	1963	2020	58	1982	750	2000	111	317	155	169	196	213	282	393	456	504	635
USGS	04096405	00060	70388		3	31	1963	2020	58	1982	835	2000	105	315	150	164	198	211	284	382	439	500	634
USGS	04096405	00060	70388		4	1	1963	2020	58	1982	820	2000	101	314	145	160	209	214	275	385	427	505	642
USGS	04096405	00060	70388		4	2	1963	2019	57	1982	750	2000	98.0	312	141	161	206	213	277	382	442	507	635
USGS	04096405	00060	70388		4	3	1963	2019	57	1982	745	2000	96.0	314	151	167	203	208	268	384	450	525	611
USGS	04096405	00060	70388		4	4	1963	2019	57	1982	740	2000	95.0	320	149	175	199	210	280	395	448	545	591
USGS	04096405	00060	70388		4	5	1963	2019	57	1982	725	2000	94.0	326	145	172	198	205	287	424	455	557	577
USGS	04096405	00060	70388		4	6	1963	2019	57	1985	778	2000	93.0	334	140	173	196	206	302	435	475	570	652
USGS	04096405	00060	70388		4	7	1963	2019	57	1985	780	2000	96.0	338	137	170	189	202	298	425	489	662	699
USGS	04096405	00060	70388		4	8	1963	2019	57	2017	707	2000	117	332	138	163	186	200	290	413	496	648	686
USGS	04096405	00060	70388		4	9	1963	2019	57	2009	677	2000	129	331	138	163	182	191	285	416	474	638	659
USGS	04096405	00060	70388		4	10	1963	2019	57	1967	662	2000	129	330	146	169	179	195	283	437	468	613	648
USGS	04096405	00060	70388		4	11	1963	2019	57	2017	660	2000	127	325	143	163	185	196	304	409	477	588	631
USGS	04096405	00060	70388		4	12	1963	2019	57	2017	657	2000	124	321	143	156	191	202	295	392	464	554	615
USGS	04096405	00060	70388		4	13	1963	2019	57	2017	615	2000	118	314	139	156	194	200	295	386	443	519	598
USGS	04096405	00060	70388		4	14	1963	2019	57	2009	616	1963	112	309	126	149	191	203	290	381	441	525	568
USGS	04096405	00060	70388		4	15	1963	2019	57	2009	727	2000	109	309	117	145	199	214	284	379	422	511	554
USGS	04096405	00060	70388		4	16	1963	2019	57	2009	699	2000	105	304	113	142	196	213	295	377	416	495	514
USGS	04096405	00060	70388		4	17	1963	2019	57	2009	647	1964	100	298	112	138	194	199	286	385	408	461	514
USGS	04096405	00060	70388		4	18	1963	2019	57	2009	617	1964	98.0	293	112	137	188	195	283	380	400	448	508
USGS	04096405	00060	70388		4	19	1963	2019	57	2013	728	1964	98.0	292	115	133	185	197	274	367	388	458	544
USGS	04096405	00060	70388		4	20	1963	2019	57	2013	886	1964	96.0	297	123	141	186	200	290	364	385	444	545
USGS	04096405	00060	70388		4	21	1963	2019	57	2013	802	1964	106	297	123	140	195	205	275	370	382	434	538
USGS	04096405	00060	70388		4	22	1963	2019	57	2013	811	2010	115	296	120	142	194	204	278	360	381	453	526
USGS	04096405	00060	70388		4	23	1963	2019	57	2013	871	2010	112	298	120	146	192	201	290	372	385	479	498
USGS	04096405	00060	70388		4	24	1963	2019	57	2013	934	1971	113	296	118	148	186	198	278	363	380	446	537
USGS	04096405	00060	70388		4	25	1963	2019	57	2013	931	1964	106	293	132	150	180	203	287	364	374	421	482
USGS	04096405	00060	70388		4	26	1963	2019	57	2013	846	1964	98.0	292	128	148	181	199	285	359	371	421	470
USGS	04096405	00060	70388		4	27	1963	2019	57	2013	759	1964	102	285	127	143	177	196	281	343	366	403	490
USGS	04096405	00060	70388		4	28	1963	2019	57	2013	704	1971	106	280	124	138	177	198	273	338	346	396	503
